Order #,Sent Date,Menu Item,Menu Subgroup(s),Menu Group,Menu,Sales Category,Gross Price,Discount,Net Price,Qty,Tax,Void?
1,4/1/26 10:47 AM,Chicken Tikka,,Tikka,Appetizer,Appetizer,12.99,0.00,12.99,1.0,1.30000000,true
1,4/1/26 10:47 AM,Veg Samosa,,Samosa,Appetizer,Appetizer,5.99,0.00,5.99,1.0,0.60000000,true
1,4/1/26 10:47 AM,Goat Biryani,,Nonveg,Biryani,Biryani,18.99,0.00,18.99,1.0,1.90000000,true
1,4/1/26 10:47 AM,Fish,,Tikka Masala Curry,Entrée,Food,17.99,0.00,17.99,1.0,1.80000000,true
2,4/1/26 11:03 AM,Aloo Gobi Matar,Vegan,Veg Curries,Entrée,Food,12.99,0.00,12.99,1.0,1.30000000,false
2,4/1/26 11:03 AM,Chicken 65 Biryani,,Nonveg,Biryani,Biryani,16.99,0.00,16.99,1.0,1.70000000,false
2,4/1/26 11:03 AM,Garlic Naan,,Naan,Bread,Food,4.99,0.00,4.99,1.0,0.50000000,false
2,4/1/26 11:03 AM,Tandoori Roti,,Roti,Bread,Food,3.99,0.00,3.99,1.0,0.40000000,false
4,4/1/26 11:19 AM,Chicken 65,,65,Appetizer,Appetizer,12.99,0.00,11.69,1.0,1.17000000,true
5,4/1/26 11:25 AM,Hot & Sour Soup,,Soup,Soup & Salad,,5.99,0.00,5.99,1.0,0.60000000,true
8,4/1/26 12:10 PM,Butter Chicken,,,,,15.99,0.00,15.99,1.0,0E-8,false
8,4/1/26 12:10 PM,Chicken,,Tikka Masala Curry,Entrée,Food,15.99,0.00,15.99,1.0,1.60000000,false
8,4/1/26 12:10 PM,Garlic Naan,,Naan,Bread,Food,4.99,0.00,4.99,1.0,0.50000000,false
11,4/1/26 12:27 PM,Lamb Tikka Masala,,Tikka Masala Curry,Entrée,Food,18.99,0.00,18.99,1.0,1.90000000,false
11,4/1/26 12:27 PM,Chicken Wings,,,,,12.99,0.00,12.99,1.0,0E-8,false
12,4/1/26 12:43 PM,Chicken Tikka Masala,,Tikka Masala Curry,Entrée,Food,15.99,0.00,15.99,1.0,1.60000000,false
12,4/1/26 12:43 PM,Butter Chix No Spicy,,,,,15.99,0.00,15.99,1.0,0E-8,false
12,4/1/26 12:43 PM,Butter Cix M,,,,,15.99,0.00,15.99,1.0,0E-8,false
12,4/1/26 12:43 PM,Vindaloo Curry,,Vindaloo,Entrée,Food,18.99,0.00,18.99,1.0,1.90000000,false
12,4/1/26 12:43 PM,Tandoori Chicken Full,,Tandoori,Appetizer,Appetizer,18.99,0.00,18.99,1.0,1.90000000,false
12,4/1/26 12:43 PM,Coconut Curry,,Coconut,Entrée,Food,15.99,0.00,15.99,1.0,1.60000000,false
18,4/1/26 1:50 PM,Samosa,,Chaat,Appetizer,Appetizer,8.99,0.00,8.99,1.0,0.90000000,false
19,4/1/26 2:56 PM,Goat Curry,,Non-Veg Curries,Entrée,Food,37.98,0.00,37.98,2.0,3.80000000,false
19,4/1/26 2:56 PM,Tandoori Chicken Half,,Tandoori,Appetizer,Appetizer,12.99,0.00,12.99,1.0,1.30000000,false
19,4/1/26 2:56 PM,Lachha Parathaa,,,,,5.99,0.00,5.99,1.0,0E-8,false
19,4/1/26 3:25 PM,Lachha Par,,,,,5.99,0.00,5.99,1.0,0E-8,false
19,4/1/26 3:25 PM,Garlic Naan,,Naan,Bread,Food,4.99,0.00,4.99,1.0,0.50000000,false
24,4/1/26 5:04 PM,Vindaloo Curry,,Vindaloo,Entrée,Food,15.99,0.00,15.99,1.0,1.60000000,false
24,4/1/26 5:04 PM,Butter Naan,,Naan,Bread,Food,3.99,0.00,3.99,1.0,0.40000000,false
25,4/1/26 5:23 PM,Mulligatawny Soup,,Soup,Soup & Salad,,7.99,0.00,7.99,1.0,0.80000000,false
25,4/1/26 5:23 PM,Mulligatawny Soup,,Soup,Soup & Salad,,5.99,0.00,5.99,1.0,0.60000000,false
25,4/1/26 5:23 PM,Garlic Naan,,Naan,Bread,Food,4.99,0.00,4.99,1.0,0.50000000,false
25,4/1/26 5:23 PM,Lamb Sheekh Kabab,,Sheekh Kabab,Appetizer,Appetizer,15.99,0.00,15.99,1.0,1.60000000,false
25,4/1/26 5:23 PM,Chicken Kathi Roll,,Kathi Roll,Appetizer,Appetizer,12.99,0.00,12.99,1.0,1.30000000,false
25,4/1/26 5:23 PM,Garlic Naan,,Naan,Bread,Food,4.99,0.00,4.99,1.0,0.50000000,false
26,4/1/26 5:27 PM,Raita,,Sides,Sides,,4.99,0.00,4.99,1.0,0.50000000,false
26,4/1/26 5:27 PM,Raita,,Sides,Sides,,4.99,0.00,4.99,1.0,0.50000000,false
26,4/1/26 5:27 PM,Chutney,,Sides,Sides,,3.99,0.00,3.99,1.0,0.40000000,false
26,4/1/26 5:27 PM,Chutney,,Sides,Sides,,3.99,0.00,3.99,1.0,0.40000000,false
27,4/1/26 5:56 PM,Chicken Biryani,,Nonveg,Biryani,Biryani,16.99,0.00,16.99,1.0,1.70000000,false
28,4/1/26 6:26 PM,Tandoori Chicken Half,,Tandoori,Appetizer,Appetizer,12.99,0.00,12.99,1.0,1.30000000,false
28,4/1/26 6:26 PM,Garlic Naan,,Naan,Bread,Food,4.99,0.00,4.99,1.0,0.50000000,false
28,4/1/26 6:26 PM,Garlic Naan,,Naan,Bread,Food,4.99,0.00,4.99,1.0,0.50000000,false
28,4/1/26 6:26 PM,Kadhai,,Kadhai,Entrée,Food,18.99,0.00,18.99,1.0,1.90000000,false
28,4/1/26 6:38 PM,Butter Milk,,Lassi & Tea,Beverage,NA Beverage,3.99,0.00,3.99,1.0,0.40000000,false
28,4/1/26 6:38 PM,Coke Zero,,Soda & Water,Beverage,NA Beverage,1.99,0.00,1.99,1.0,0.20000000,false
28,4/1/26 6:56 PM,Garlic Naan,,Naan,Bread,Food,4.99,0.00,4.99,1.0,0.50000000,false
32,4/1/26 7:03 PM,Paneer Tikka,,Tikka,Appetizer,Appetizer,11.99,0.00,11.99,1.0,1.20000000,false
32,4/1/26 7:03 PM,Veg Manchurian,,Appetizer,Indo-Chines,,23.98,0.00,23.98,2.0,2.40000000,false
32,4/1/26 7:08 PM,Channa Masala,Vegan,Veg Curries,Entrée,Food,12.99,0.00,12.99,1.0,1.30000000,false
32,4/1/26 7:08 PM,Dal Tadka,Vegan,Veg Curries,Entrée,Food,12.99,0.00,12.99,1.0,1.30000000,false
32,4/1/26 7:08 PM,Bread Basket,,Others,Bread,Food,14.99,0.00,14.99,1.0,1.50000000,false
34,4/1/26 7:25 PM,Paneer Tikka,,Tikka,Appetizer,Appetizer,11.99,0.00,11.99,1.0,1.20000000,false
34,4/1/26 7:25 PM,Paneer,,Saag,Entrée,Food,16.99,0.00,16.99,1.0,1.70000000,false
32,4/1/26 7:27 PM,Onion,,Salad,Soup & Salad,,2.99,0.00,2.99,1.0,0.30000000,false
28,4/1/26 7:32 PM,Kulfi,,,,,1.99,0.00,1.99,1.0,0E-8,false
28,4/1/26 7:32 PM,Kulfi,,,,,1.99,0.00,1.99,1.0,0E-8,false
35,4/1/26 7:42 PM,Chicken Tikka Masala,,Tikka Masala Curry,Entrée,Food,15.99,0.00,15.99,1.0,1.60000000,false
35,4/1/26 7:42 PM,Paneer,,Saag,Entrée,Food,16.99,0.00,16.99,1.0,1.70000000,false
35,4/1/26 7:42 PM,Butter Chicken,,Non-Veg Curries,Entrée,Food,15.99,0.00,15.99,1.0,1.60000000,false
35,4/1/26 7:42 PM,Garlic Naan,,Naan,Bread,Food,4.99,0.00,4.99,1.0,0.50000000,false
36,4/1/26 7:58 PM,Chili Garlic Naan,,Naan,Bread,Food,5.99,0.00,5.99,1.0,0.60000000,false
36,4/1/26 7:58 PM,Laccha Paratha,,Others,Bread,Food,5.99,0.00,5.99,1.0,0.60000000,false
36,4/1/26 7:58 PM,Malai Kofta,,Veg Curries,Entrée,Food,16.99,0.00,16.99,1.0,1.70000000,false
37,4/1/26 8:18 PM,Maysur Masala Dosa,,Dosa,Bread,Food,27.98,0.00,27.98,2.0,2.80000000,false
37,4/1/26 8:18 PM,Half Chicken Tandoori,,Tandoori,Appetizer,Appetizer,12.99,0.00,12.99,1.0,1.30000000,false
37,4/1/26 8:18 PM,Veg Manchurian,,Appetizer,Indo-Chines,,11.99,0.00,11.99,1.0,1.20000000,false
38,4/1/26 8:33 PM,Fried Rice,,Entrees,Indo-Chines,,12.99,0.00,12.99,1.0,1.30000000,false
38,4/1/26 8:33 PM,Kulfi,,,,,1.99,0.00,1.99,1.0,0E-8,false
39,4/1/26 9:02 PM,Lamb Biryani,,Nonveg,Biryani,Biryani,18.99,0.00,18.99,1.0,1.90000000,false
40,4/1/26 9:27 PM,Garlic Naan,,Naan,Bread,Food,4.99,0.00,4.99,1.0,0.50000000,false
40,4/1/26 9:27 PM,Butter Chicken,,Non-Veg Curries,Entrée,Food,15.99,0.00,15.99,1.0,1.60000000,false
40,4/1/26 9:27 PM,Highway Chicken,,Non-Veg Curries,Entrée,Food,15.99,0.00,15.99,1.0,1.60000000,false
40,4/1/26 9:27 PM,Mozzarella Sticks,,Kids,Kids,,6.99,0.00,6.99,1.0,0.70000000,false
39,4/1/26 9:30 PM,Sweet Tea,,Lassi & Tea,Beverage,NA Beverage,2.99,0.00,2.99,1.0,0.30000000,false
39,4/1/26 9:30 PM,Sweet Tea,,Lassi & Tea,Beverage,NA Beverage,2.99,0.00,2.99,1.0,0.30000000,false
6,4/2/26 12:37 PM,Vindaloo Curry,,Vindaloo,Entrée,Food,18.99,0.00,18.99,1.0,1.90000000,false
6,4/2/26 12:37 PM,Butter Naan,,Naan,Bread,Food,3.99,0.00,3.99,1.0,0.40000000,false
6,4/2/26 12:37 PM,Chicken Tikka,,Tikka,Appetizer,Appetizer,12.99,0.00,12.99,1.0,1.30000000,false
7,4/2/26 12:39 PM,Salmon Tandoori,,Tandoori,Appetizer,Appetizer,18.99,0.00,18.99,1.0,1.90000000,false
7,4/2/26 12:39 PM,Okra Masala,Vegan,Veg Curries,Entrée,Food,13.99,0.00,13.99,1.0,1.40000000,false
7,4/2/26 12:39 PM,Dal Tadka,Vegan,Veg Curries,Entrée,Food,12.99,0.00,12.99,1.0,1.30000000,false
7,4/2/26 12:39 PM,Garlic Naan,,Naan,Bread,Food,9.98,0.00,9.98,2.0,1.00000000,false
8,4/2/26 12:59 PM,Lamb Samosa,,Samosa,Appetizer,Appetizer,9.99,0.00,9.99,1.0,1.00000000,false
9,4/2/26 1:10 PM,Hakka Noodles,,Entrees,Indo-Chines,,15.99,0.00,15.99,1.0,1.60000000,false
9,4/2/26 1:10 PM,Veg Paneer Biryani,,Veg,Biryani,Biryani,14.99,0.00,14.99,1.0,1.50000000,false
9,4/2/26 1:10 PM,Butter Chicken,,Non-Veg Curries,Entrée,Food,15.99,0.00,15.99,1.0,1.60000000,false
9,4/2/26 1:10 PM,Garlic Naan,,Naan,Bread,Food,4.99,0.00,4.99,1.0,0.50000000,false
10,4/2/26 1:11 PM,Plain Dosa,,Dosa,Bread,Food,11.99,0.00,11.99,1.0,1.20000000,false
10,4/2/26 1:11 PM,Salmon Tandoori,,Tandoori,Appetizer,Appetizer,18.99,0.00,18.99,1.0,1.90000000,false
11,4/2/26 1:45 PM,Kids Butter Chicken,,Kids,Kids,,7.99,0.00,7.99,1.0,0.80000000,true
12,4/2/26 1:53 PM,Garlic Naan,,Naan,Bread,Food,4.99,0.00,4.49,1.0,0.44000000,false
12,4/2/26 1:53 PM,Kids Butter Chicken,,Kids,Kids,,7.99,0.00,7.19,1.0,0.71000000,false
11,4/2/26 2:01 PM,Garlic Naan,,Naan,Bread,Food,4.99,0.00,4.99,1.0,0.50000000,true
13,4/2/26 2:18 PM,Plain Dosa,,Dosa,Bread,Food,11.99,0.00,11.99,1.0,1.20000000,false
13,4/2/26 2:18 PM,Coke,,Soda & Water,Beverage,NA Beverage,1.99,0.00,1.99,1.0,0.20000000,false
14,4/2/26 5:11 PM,Hot & Sour Soup,,Soup,Soup & Salad,,6.99,0.00,6.99,1.0,0.70000000,false
14,4/2/26 5:11 PM,Chicken Samosa,,Samosa,Appetizer,Appetizer,6.99,0.00,6.99,1.0,0.70000000,false
14,4/2/26 5:11 PM,Saag Chicken-Bone Less,,Saag,Entrée,Food,16.99,0.00,16.99,1.0,1.70000000,false
14,4/2/26 5:11 PM,Lamb Chops,,Tandoori,Appetizer,Appetizer,25.99,0.00,25.99,1.0,2.60000000,false
14,4/2/26 5:11 PM,Fried Rice,,Entrees,Indo-Chines,,12.99,0.00,12.99,1.0,1.30000000,false
15,4/2/26 5:27 PM,Dal Makhani,,Veg Curries,Entrée,Food,14.99,0.00,14.99,1.0,1.50000000,false
15,4/2/26 5:27 PM,Butter Naan,,Naan,Bread,Food,3.99,0.00,3.99,1.0,0.40000000,false
15,4/2/26 5:27 PM,Butter Naan,,Naan,Bread,Food,3.99,0.00,3.99,1.0,0.40000000,false
15,4/2/26 5:27 PM,Salmon Tandoori,,Tandoori,Appetizer,Appetizer,18.99,0.00,18.99,1.0,1.90000000,false
15,4/2/26 5:27 PM,Mango Lassi,,Lassi & Tea,Beverage,NA Beverage,4.99,0.00,4.99,1.0,0.50000000,false
15,4/2/26 5:27 PM,Mango Lassi,,Lassi & Tea,Beverage,NA Beverage,4.99,0.00,4.99,1.0,0.50000000,false
16,4/2/26 5:55 PM,Paneer Tikka Masala,,Tikka Masala Curry,Entrée,Food,15.99,0.00,15.99,1.0,1.60000000,false
16,4/2/26 5:55 PM,Dal Tadka,Vegan,Veg Curries,Entrée,Food,12.99,0.00,12.99,1.0,1.30000000,false
16,4/2/26 5:55 PM,Garlic Naan,,Naan,Bread,Food,4.99,0.00,4.99,1.0,0.50000000,false
16,4/2/26 5:55 PM,Garlic Naan,,Naan,Bread,Food,4.99,0.00,4.99,1.0,0.50000000,false
16,4/2/26 5:55 PM,Garlic Naan,,Naan,Bread,Food,4.99,0.00,4.99,1.0,0.50000000,false
16,4/2/26 5:55 PM,Gulab Jamun,,,,,4.99,0.00,4.99,1.0,0E-8,false
17,4/2/26 6:46 PM,Coconut Curry,,Coconut,Entrée,Food,15.99,0.00,15.99,1.0,1.60000000,false
17,4/2/26 6:46 PM,Butter Chicken,,Non-Veg Curries,Entrée,Food,15.99,0.00,15.99,1.0,1.60000000,false
17,4/2/26 6:46 PM,Saag Paneer,,Saag,Entrée,Food,16.99,0.00,16.99,1.0,1.70000000,false
17,4/2/26 6:46 PM,Garlic Naan,,Naan,Bread,Food,4.99,0.00,4.99,1.0,0.50000000,false
17,4/2/26 6:46 PM,Garlic Naan,,Naan,Bread,Food,4.99,0.00,4.99,1.0,0.50000000,false
18,4/2/26 6:52 PM,Fried Rice,,Entrees,Indo-Chines,,12.99,0.00,12.99,1.0,1.30000000,false
19,4/2/26 7:01 PM,Channa Masala,Vegan,Veg Curries,Entrée,Food,12.99,0.00,12.99,1.0,1.30000000,false
19,4/2/26 7:01 PM,Spring Roll,,Spring Roll,Appetizer,Appetizer,5.99,0.00,5.99,1.0,0.60000000,false
20,4/2/26 7:22 PM,Chicken 65 Biryani,,Nonveg,Biryani,Biryani,16.99,0.00,15.29,1.0,1.53000000,false
20,4/2/26 7:22 PM,Garlic Naan,,Naan,Bread,Food,4.99,0.00,4.49,1.0,0.44000000,false
21,4/2/26 8:44 PM,Malai Tikka,Tikka,Tandoori,Appetizer,Appetizer,14.99,0.00,14.99,1.0,1.50000000,false
21,4/2/26 8:44 PM,Butter Chicken,,Non-Veg Curries,Entrée,Food,15.99,0.00,15.99,1.0,1.60000000,false
