Sales date,Location,"# Txns",Payments,Refunds,Fees,Withholdings,Settled date(s),External,Payouts
04/01/2026,Lota-245 Bush River Rd,18,736.02,0.0,21.12,0.0,[04/02/2026],0.0,714.9
04/02/2026,Lota-245 Bush River Rd,14,646.24,0.0,18.49,0.0,[04/03/2026],0.0,627.75
04/03/2026,Lota-245 Bush River Rd,30,1559.88,0.0,43.64,0.0,[04/05/2026],0.0,1516.24
04/04/2026,Lota-245 Bush River Rd,30,1262.33,0.0,31.8,0.0,[04/06/2026],0.0,1230.53
04/05/2026,Lota-245 Bush River Rd,30,1877.1,0.0,55.39,0.0,[04/07/2026],0.0,1821.71
04/06/2026,Lota-245 Bush River Rd,19,1144.69,0.0,33.43,0.0,[04/08/2026],0.0,1111.26
04/08/2026,Lota-245 Bush River Rd,16,1026.99,0.0,30.69,0.0,[04/10/2026],0.0,996.3
04/09/2026,Lota-245 Bush River Rd,16,686.58,0.0,18.29,0.0,[04/11/2026],0.0,668.29
04/10/2026,Lota-245 Bush River Rd,22,1207.27,0.0,35.95,0.0,[04/12/2026],0.0,1171.32
04/11/2026,Lota-245 Bush River Rd,36,2072.3,0.0,52.39,0.0,[04/13/2026],0.0,2019.91
04/12/2026,Lota-245 Bush River Rd,25,1506.35,0.0,43.44,0.0,[04/14/2026],0.0,1462.91
04/13/2026,Lota-245 Bush River Rd,13,869.27,0.0,22.7,0.0,[04/15/2026],0.0,846.57
04/15/2026,Lota-245 Bush River Rd,17,794.24,0.0,24.88,0.0,[04/17/2026],0.0,769.36
04/16/2026,Lota-245 Bush River Rd,17,1191.55,0.0,31.32,0.0,[04/18/2026],0.0,1160.23
04/17/2026,Lota-245 Bush River Rd,22,1210.06,0.0,33.54,0.0,[04/19/2026],0.0,1176.52
04/18/2026,Lota-245 Bush River Rd,36,1678.39,0.0,44.76,0.0,[04/20/2026],0.0,1633.63
04/19/2026,Lota-245 Bush River Rd,37,2272.9,0.0,61.04,0.0,[04/21/2026],0.0,2211.86
04/20/2026,Lota-245 Bush River Rd,9,571.89,0.0,17.16,0.0,[04/22/2026],0.0,554.73
04/22/2026,Lota-245 Bush River Rd,13,733.19,0.0,22.1,0.0,[04/24/2026],0.0,711.09
04/23/2026,Lota-245 Bush River Rd,20,867.27,0.0,22.65,0.0,[04/25/2026],0.0,844.62
04/24/2026,Lota-245 Bush River Rd,17,1063.53,0.0,26.78,0.0,[04/26/2026],0.0,1036.75
04/25/2026,Lota-245 Bush River Rd,39,1923.48,0.0,56.95,0.0,[04/27/2026],0.0,1866.53
04/26/2026,Lota-245 Bush River Rd,27,1378.84,0.0,38.1,0.0,[04/28/2026],0.0,1340.74
04/27/2026,Lota-245 Bush River Rd,22,1666.68,0.0,43.72,0.0,[04/29/2026],0.0,1622.96
