Discount Name,Sales Category,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount
No Discount,,2994,32689.5,0,32689.5,3185.49,
No Discount,NA Beverage,371,1683.24,0,1683.24,165.08,
No Discount,Sides,246,4056.84,0,4056.84,405.85,
No Discount,Food,1578,17793.46,0,17793.46,1717.65,
No Discount,Appetizer,406,4649.63,0,4649.63,461.82,
No Discount,Desserts,52,246.13,0,246.13,24.36,
No Discount,Biryani,87,1577.63,0,1577.63,157.16,
No Discount,No Sales Category,246,2561.64,0,2561.64,241.47,
No Discount,Bottled Beer,6,57.94,0,57.94,5.8,
No Discount,Wine,2,62.99,0,62.99,6.3,
BJSC,,62,665.42,73.96,739.38,66.38,
BJSC,No Sales Category,9,95.31,10.6,105.91,9.54,
BJSC,Appetizer,10,148.4,16.5,164.9,14.83,
BJSC,Desserts,1,4.49,0.5,4.99,0.44,
BJSC,Food,32,324.61,36.07,360.68,32.33,
BJSC,Sides,3,35.97,4,39.97,3.59,
BJSC,Biryani,2,34.18,3.8,37.98,3.41,
BJSC,NA Beverage,5,22.46,2.49,24.95,2.24,
Military Discount,,27,249.94,27.79,277.73,22.37,
Military Discount,Biryani,3,47.67,5.3,52.97,4.77,
Military Discount,No Sales Category,1,7.19,0.8,7.99,0.71,
Military Discount,Food,12,116.89,12.99,129.88,9.02,
Military Discount,NA Beverage,7,23.33,2.6,25.93,2.35,
Military Discount,Desserts,2,7.18,0.8,7.98,0.74,
Military Discount,Appetizer,2,47.68,5.3,52.98,4.78,
Otter Discount,,32,254.68,45,299.68,25.43,
Otter Discount,Food,14,118.01,20.85,138.86,11.79,
Otter Discount,NA Beverage,8,41.57,7.35,48.92,4.15,
Otter Discount,Appetizer,5,39.9,7.05,46.95,3.98,
Otter Discount,No Sales Category,4,40.76,7.2,47.96,4.07,
Otter Discount,Biryani,1,14.44,2.55,16.99,1.44,
Open % Item,,2,15.73,5.25,20.98,1.57,
Open % Item,Food,2,15.73,5.25,20.98,1.57,
Buy 1| Get 1 free on select items,,1,0,12.99,12.99,0,
Buy 1| Get 1 free on select items,Appetizer,1,0,12.99,12.99,0,
