Dining Option,Sales Category,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount
Dine In,,2052,21697,112.07,21809.07,2120.96,
Dine In,NA Beverage,335,1538.95,9.84,1548.79,150.59,
Dine In,Sides,231,3926.69,4,3930.69,392.88,
Dine In,Appetizer,261,2975.23,23.15,2998.38,297.77,
Dine In,Desserts,37,162.23,0.9,163.13,16.23,
Dine In,No Sales Category,175,1804.95,17.3,1822.25,167.25,
Dine In,Food,972,10602.41,48.83,10651.24,1027.56,
Dine In,Biryani,36,639.59,8.05,647.64,63.98,
Dine In,Bottled Beer,4,31.96,0,31.96,3.2,
Dine In,Wine,1,14.99,0,14.99,1.5,
Take Out,,679,7587.28,39.93,7627.21,737.3,
Take Out,Food,423,4808.42,26.33,4834.75,460.25,
Take Out,Appetizer,86,1008.44,5.7,1014.14,100.92,
Take Out,NA Beverage,46,189.95,2.6,192.55,19.05,
Take Out,Biryani,39,685.01,3.6,688.61,68.54,
Take Out,Sides,12,134.88,0,134.88,13.5,
Take Out,No Sales Category,60,642.1,1.3,643.4,63.17,
Take Out,Desserts,10,44.5,0.4,44.9,4.47,
Take Out,Wine,1,48,0,48,4.8,
Take Out,Bottled Beer,2,25.98,0,25.98,2.6,
DoorDash - Takeout,,61,685.59,0,685.59,66.23,
DoorDash - Takeout,NA Beverage,5,17.55,0,17.55,1.76,
DoorDash - Takeout,Food,44,545.96,0,545.96,52.51,
DoorDash - Takeout,Appetizer,6,48.44,0,48.44,4.59,
DoorDash - Takeout,No Sales Category,4,34.06,0,34.06,3.41,
DoorDash - Takeout,Biryani,2,39.58,0,39.58,3.96,
DoorDash - Delivery,,254,3107.31,0,3107.31,300.59,
DoorDash - Delivery,Food,163,1990.67,0,1990.67,191.96,
DoorDash - Delivery,Appetizer,49,632.01,0,632.01,61.08,
DoorDash - Delivery,No Sales Category,17,166.63,0,166.63,16.23,
DoorDash - Delivery,Biryani,13,255.37,0,255.37,25.05,
DoorDash - Delivery,NA Beverage,4,18.66,0,18.66,1.87,
DoorDash - Delivery,Desserts,4,24.71,0,24.71,2.47,
DoorDash - Delivery,Sides,4,19.26,0,19.26,1.93,
No Dining Option,,4,38.96,0,38.96,3.9,
No Dining Option,Biryani,1,16.99,0,16.99,1.7,
No Dining Option,Food,3,21.97,0,21.97,2.2,
Uber Eats - Delivery,,53,570.37,0,570.37,53.38,
Uber Eats - Delivery,Desserts,4,26.36,0,26.36,2.37,
Uber Eats - Delivery,Appetizer,18,194.52,0,194.52,18.35,
Uber Eats - Delivery,Food,25,272.55,0,272.55,25.21,
Uber Eats - Delivery,Sides,1,5.49,0,5.49,0.49,
Uber Eats - Delivery,No Sales Category,2,28.58,0,28.58,2.86,
Uber Eats - Delivery,NA Beverage,1,5.49,0,5.49,0.55,
Uber Eats - Delivery,Biryani,2,37.38,0,37.38,3.55,
Uber Eats - Takeout,,6,95.54,0,95.54,9.55,
Uber Eats - Takeout,Food,5,79.95,0,79.95,7.98,
Uber Eats - Takeout,No Sales Category,1,15.59,0,15.59,1.57,
Online Ordering - Takeout,,5,39.96,12.99,52.95,4,
Online Ordering - Takeout,Appetizer,4,26.97,12.99,39.96,2.7,
Online Ordering - Takeout,No Sales Category,1,12.99,0,12.99,1.3,
Grubhub - Delivery,,4,53.26,0,53.26,5.33,
Grubhub - Delivery,Food,3,46.77,0,46.77,4.69,
Grubhub - Delivery,Sides,1,6.49,0,6.49,0.64,
